Parish,QSOs_Sent,QSOs_Received,Total_Activity
ACAD,0,0,0
ALLE,0,0,0
ASCE,0,59,59
ASSU,0,0,0
AVOY,0,0,0
BEAU,0,0,0
BIEN,0,0,0
BOSS,0,22,22
CADD,0,60,60
CALC,3,53,56
CALD,0,0,0
CAME,0,0,0
CATA,0,0,0
CLAI,0,0,0
CONC,0,0,0
DESO,0,0,0
EBAT,0,0,0
ECAR,0,0,0
EFEL,0,0,0
EVAN,0,0,0
FRAN,0,1,1
GRAN,0,0,0
IBEN,0,0,0
IBER,0,146,146
JACK,0,1,1
JEFD,0,0,0
JEFF,0,33,33
LAFA,0,1,1
LAFO,8,0,8
LASA,0,1,1
LINC,0,0,0
LIVI,0,1,1
MADI,0,0,0
MORE,0,0,0
NATC,2,0,2
ORLE,0,1,1
OUAC,15,326,341
PCOU,0,0,0
PLAQ,0,0,0
RAPI,0,128,128
RDRV,0,0,0
RICH,0,0,0
SABI,0,0,0
SBER,0,0,0
SCHA,0,0,0
SHEL,0,0,0
SJAM,0,0,0
SJOH,0,0,0
SLAN,0,0,0
SMAR,0,23,23
STAM,0,1,1
TANG,0,0,0
TENS,0,0,0
TERR,0,107,107
UNIO,0,0,0
VERM,0,2,2
VERN,0,0,0
WASH,0,1,1
WBAT,0,0,0
WCAR,0,0,0
WEBS,0,0,0
WFEL,0,1,1
WINN,0,2,2